date,rating,content,product_url
13 jan. 2025,5,Muito bom.,https://www.mercadolivre.com.br/mascara-lola-cosmetics-densidade-230g/p/MLB19485430
29 jul. 2024,5,Excelente produto.,https://www.mercadolivre.com.br/bbxx-capilar-free-natumaxx-1kg/p/MLB20688465
27 jan. 2025,5,"Produto bom, fácil de passar.
Comprei pelo fato de ser para pele oleosa, porém mesmo assim ele deixa minha pele oleosa não é tanto mas deixa.
Ele não deixa aquela sensação de peso!.",https://www.mercadolivre.com.br/protetor-solar-facial-sun-oil-control-fps-60-50ml-eucerin/p/MLB18407878
25 set. 2024,5,Muito bom.,https://www.mercadolivre.com.br/mascara-joico-moisture-recovery-balm-250ml/p/MLB19514426
30 jun. 2024,5,Sensação de está em um campo de flores ❤️.,https://www.mercadolivre.com.br/perfume-feminino-la-rive-cute-30ml-eau-de-parfum/p/MLB6290390
26 jun. 2024,5,Otimo.,https://www.mercadolivre.com.br/balm-finalizador-hidra-aneethun-210ml-com-acido-hialurnico/p/MLB21492903
03 dez. 2024,5,Tô usando ainda estou na segunda lavagem e não vi diferença ainda.,https://www.mercadolivre.com.br/cetoconazol-shampoo-2-200-ml-ibasa-pet-imediato/p/MLB21497837
12 jan. 2024,5,Perfeito para fazer ondas e cachos!.,https://www.mercadolivre.com.br/modelador-pre-babyliss-120ml-deslumbre-lowell-full/p/MLB19818986
16 dez. 2024,5,"Muito boa! fácil de fazer e alisa mesmo (meu cabelo é crespo). Cheiro suave e não “pinica”. A máscara hidratante desmaia o cabelo, muito boa também.",https://www.mercadolivre.com.br/combo-fashion-gold-baby/p/MLB28014936
18 nov. 2024,5,"Realmente funciona muito bem. Geralmente levo meia hora pra secar 100% o cabelo. Com esse produto levei 13 minutos. O cheiro me lembra um pouco repelente entao se vc é chata com cheiro vai estranhar um pouco, mas eu amei.",https://www.mercadolivre.com.br/acelerador-de-secagem-comigo-ninguem-pode-bff-spray-250ml-lola-cosmetics/p/MLB20649208
11 jul. 2023,5,Muito bom.,https://produto.mercadolivre.com.br/MLB-1521562049-btx-matizador-platinum-1kg-plancton-shampo-condicionador-_JM
23 dez. 2024,5,Já estou usando o produto no meu cabelo ficou bom!.,https://www.mercadolivre.com.br/jacques-janine-repair-shampoo-sem-sal-800ml-condicionador-leave-in-750ml-reparaco-intensa-reconstruco-hidrataco-brilho-maciez/p/MLB31008816
04 out. 2023,5,Eu sempre compro e super indico.,https://produto.mercadolivre.com.br/MLB-3305045911-btox-zero-formol-total-nutrition-1k-kpriche-_JM
02 set. 2023,5,,https://produto.mercadolivre.com.br/MLB-2016966135-creme-para-pentear-hidra-coco-nutrico-salon-line-1-litro-_JM
15 set. 2023,5,"A 3d não tem me decepcionado nos resultados, ela é maravilhosa.",https://produto.mercadolivre.com.br/MLB-2732022534-2-kit-progressiva-plancton-shield-3d-blindagem-1-litro-cada-_JM
08 mai. 2023,5,"O produto é maravilhoso,quem usar nunca mais fica sem.",https://www.mercadolivre.com.br/serum-alfaparf-milano-cristalli-liquidi-proteco-termica-de-30ml-30g/p/MLB19377911
11 jan. 2024,5,O produto é bom e bem consistente tanto q dificulta sair do recipiente que é bem estreito o farinha na tampa. Mas gostei muito.,https://www.mercadolivre.com.br/wella-fusion-condicionador-1-litro/p/MLB20258171
21 mai. 2023,4,Recomendo o produto.,https://www.mercadolivre.com.br/protetor-solar-protect-e-hidrata-sun-fps30-125ml-nivea/p/MLB17476578
28 out. 2024,5,"Eu estava usando o crespo power, comprei esse para testar e achei melhor. Definiu mais meus cachos, deixa aspecto leve e brilhoso. O cheiro é bem leve também.",https://www.mercadolivre.com.br/ativador-e-modelador-de-cachos-vegano-anti-frizz-apice-cosmetics-500g/p/MLB19642706
10 nov. 2023,5,Gostei muito.,https://www.mercadolivre.com.br/condicionador-gotas-de-brilho-johnsons-baby-200ml/p/MLB18460920
28 ago. 2024,4,"Gostei,porém pelo preço acho que tem produtos melhores no mercado.",https://www.mercadolivre.com.br/combo-sige-cica-therapy-shampoo-400ml-condicionador-400m/p/MLB27797438
